#wl 	 flux 	 err 
3599.978760 	 8.474912e-16 	 8.075519e-17 
3600.808838 	 1.097931e-15 	 7.698804e-17 
3601.637207 	 8.113583e-16 	 7.487110e-17 
3602.467773 	 1.037143e-15 	 7.837313e-17 
3603.296387 	 1.141851e-15 	 7.805360e-17 
3604.125244 	 9.169689e-16 	 7.773432e-17 
3604.956543 	 1.186592e-15 	 7.542554e-17 
3605.785889 	 7.327618e-16 	 8.726378e-17 
3606.617188 	 7.871612e-16 	 8.058188e-17 
3607.447021 	 1.026984e-15 	 9.607851e-17 
3608.278809 	 1.128528e-15 	 7.648989e-17 
3609.108887 	 1.033422e-15 	 7.403281e-17 
3609.939209 	 8.865128e-16 	 7.216576e-17 
3610.771729 	 1.039753e-15 	 7.308489e-17 
3611.602295 	 1.004645e-15 	 7.422467e-17 
3612.435059 	 1.091786e-15 	 7.547998e-17 
3613.266113 	 1.060602e-15 	 7.314147e-17 
3614.099365 	 9.165069e-16 	 7.175446e-17 
3614.930664 	 1.034977e-15 	 7.114483e-17 
3615.762451 	 8.412778e-16 	 6.987711e-17 
3616.596191 	 9.390466e-16 	 6.896248e-17 
3617.428223 	 8.569429e-16 	 6.742495e-17 
3618.262451 	 8.206726e-16 	 6.619065e-17 
3619.094727 	 9.958885e-16 	 6.941439e-17 
3619.929199 	 1.000114e-15 	 6.813953e-17 
3620.761963 	 8.496538e-16 	 6.533612e-17 
3621.596924 	 9.281731e-16 	 6.569967e-17 
3622.430176 	 9.880454e-16 	 6.678264e-17 
3623.263428 	 9.491379e-16 	 6.624846e-17 
3624.098877 	 9.371029e-16 	 6.556773e-17 
3624.932617 	 1.004435e-15 	 6.581560e-17 
3625.768555 	 8.962853e-16 	 6.522370e-17 
3626.602783 	 9.498672e-16 	 6.466101e-17 
3627.438965 	 1.000046e-15 	 6.701876e-17 
3628.273438 	 1.006578e-15 	 6.634067e-17 
3629.108154 	 9.587733e-16 	 6.461341e-17 
3629.945068 	 8.634853e-16 	 6.432527e-17 
3630.780029 	 1.009585e-15 	 6.517117e-17 
3631.617432 	 9.069579e-16 	 6.360612e-17 
3632.452881 	 9.549709e-16 	 6.564613e-17 
3633.290283 	 1.030247e-15 	 6.431444e-17 
3634.126221 	 9.584538e-16 	 6.546337e-17 
3634.962158 	 9.381255e-16 	 6.450966e-17 
3635.800537 	 1.031976e-15 	 6.497099e-17 
3636.636963 	 9.604076e-16 	 6.574708e-17 
3637.475586 	 1.050614e-15 	 6.564366e-17 
3638.312256 	 1.014571e-15 	 6.408580e-17 
3639.151367 	 8.298930e-16 	 6.013655e-17 
3639.988525 	 9.621011e-16 	 6.147481e-17 
3640.825928 	 9.834741e-16 	 6.388183e-17 
3641.665283 	 1.103746e-15 	 6.467425e-17 
3642.503174 	 9.663173e-16 	 6.292131e-17 
3643.343018 	 9.569428e-16 	 6.285872e-17 
3644.181152 	 1.099561e-15 	 6.269002e-17 
3645.021484 	 8.821583e-16 	 6.120910e-17 
3645.860107 	 1.048570e-15 	 6.070518e-17 
3646.698975 	 9.304165e-16 	 6.002312e-17 
3647.539795 	 8.768451e-16 	 5.652427e-17 
3648.378906 	 9.887850e-16 	 5.991265e-17 
3649.220215 	 1.021653e-15 	 5.907697e-17 
3650.059570 	 8.618455e-16 	 5.786750e-17 
3650.901367 	 9.867504e-16 	 5.772863e-17 
3651.741211 	 9.198447e-16 	 5.831795e-17 
3652.581299 	 9.354901e-16 	 5.654671e-17 
3653.423584 	 9.891643e-16 	 5.918491e-17 
3654.264160 	 9.194400e-16 	 5.618595e-17 
3655.106689 	 8.209173e-16 	 5.523991e-17 
3655.947510 	 9.228652e-16 	 5.595308e-17 
3656.790771 	 9.285698e-16 	 5.712435e-17 
3657.631836 	 9.330888e-16 	 5.685033e-17 
3658.473389 	 1.010826e-15 	 5.898512e-17 
3659.316895 	 1.026185e-15 	 5.857191e-17 
3660.158691 	 8.604238e-16 	 5.624675e-17 
3661.002930 	 9.329799e-16 	 5.662419e-17 
3661.844971 	 1.031125e-15 	 5.846192e-17 
3662.689453 	 9.411212e-16 	 5.769390e-17 
3663.531982 	 9.498560e-16 	 5.709640e-17 
3664.374756 	 1.052547e-15 	 5.841765e-17 
3665.219727 	 8.724013e-16 	 5.494731e-17 
3666.062988 	 9.222104e-16 	 5.447719e-17 
3666.908447 	 9.387407e-16 	 5.523768e-17 
3667.751953 	 9.485469e-16 	 5.462492e-17 
3668.597656 	 9.105001e-16 	 5.425520e-17 
3669.441650 	 8.969155e-16 	 5.393356e-17 
3670.285889 	 1.043424e-15 	 5.646517e-17 
3671.132080 	 9.913817e-16 	 5.572595e-17 
3671.976807 	 9.556949e-16 	 5.468138e-17 
3672.823486 	 9.732580e-16 	 5.490752e-17 
3673.668457 	 9.793607e-16 	 5.476660e-17 
3674.515625 	 9.565215e-16 	 5.366141e-17 
3675.360840 	 9.454051e-16 	 5.312019e-17 
3676.206299 	 9.035369e-16 	 5.162321e-17 
3677.054199 	 9.305230e-16 	 5.176261e-17 
3677.899902 	 8.949122e-16 	 5.126355e-17 
3678.748047 	 9.052804e-16 	 5.055194e-17 
3679.594482 	 9.722081e-16 	 5.261266e-17 
3680.442871 	 9.126805e-16 	 5.091921e-17 
3681.289551 	 9.249474e-16 	 5.054576e-17 
3682.136475 	 8.863937e-16 	 5.011179e-17 
3682.985596 	 9.759946e-16 	 5.096543e-17 
3683.832764 	 1.004054e-15 	 5.212637e-17 
3684.682373 	 8.884061e-16 	 4.930442e-17 
3685.530029 	 9.022549e-16 	 4.951483e-17 
3686.379883 	 9.949955e-16 	 5.092735e-17 
3687.227783 	 9.334276e-16 	 4.991609e-17 
3688.078125 	 9.259441e-16 	 4.931775e-17 
3688.926514 	 9.418838e-16 	 4.939164e-17 
3689.775146 	 8.958049e-16 	 4.835152e-17 
3690.625977 	 8.660362e-16 	 4.733165e-17 
3691.475098 	 8.910746e-16 	 4.737780e-17 
3692.326416 	 8.646022e-16 	 4.699212e-17 
3693.175781 	 8.848329e-16 	 4.688498e-17 
3694.027344 	 8.712218e-16 	 4.662505e-17 
3694.877197 	 8.276242e-16 	 4.553709e-17 
3695.727295 	 9.076271e-16 	 4.743989e-17 
3696.579346 	 9.063183e-16 	 4.689468e-17 
3697.429932 	 8.563439e-16 	 4.606981e-17 
3698.282471 	 8.610552e-16 	 4.583228e-17 
3699.133301 	 8.772540e-16 	 4.582374e-17 
3699.986328 	 8.658323e-16 	 4.551031e-17 
3700.837402 	 8.769504e-16 	 4.506540e-17 
3701.688721 	 8.742580e-16 	 4.498236e-17 
3702.542480 	 8.243103e-16 	 4.438762e-17 
3703.394287 	 8.658704e-16 	 4.536868e-17 
3704.248291 	 8.899004e-16 	 4.568451e-17 
3705.100342 	 8.706625e-16 	 4.560321e-17 
3705.954834 	 9.504710e-16 	 4.646669e-17 
3706.807373 	 8.721100e-16 	 4.451191e-17 
3707.659912 	 8.812365e-16 	 4.448915e-17 
3708.514893 	 8.988784e-16 	 4.436847e-17 
3709.368164 	 8.861931e-16 	 4.397822e-17 
3710.223389 	 8.893031e-16 	 4.426485e-17 
3711.077148 	 9.146769e-16 	 4.469917e-17 
3711.932861 	 8.321864e-16 	 4.304227e-17 
3712.786621 	 8.644688e-16 	 4.410412e-17 
3713.640869 	 8.789816e-16 	 5.055362e-17 
3714.497314 	 8.588509e-16 	 4.703529e-17 
3715.351807 	 8.992773e-16 	 4.426964e-17 
3716.208496 	 1.004036e-15 	 4.592998e-17 
3717.063477 	 9.441040e-16 	 4.483008e-17 
3717.920410 	 8.900637e-16 	 4.324202e-17 
3718.775879 	 8.399989e-16 	 4.203002e-17 
3719.631348 	 8.402668e-16 	 4.218021e-17 
3720.489014 	 8.754542e-16 	 4.212358e-17 
3721.344971 	 8.520341e-16 	 4.207598e-17 
3722.203125 	 8.969944e-16 	 4.224440e-17 
3723.059326 	 8.612969e-16 	 4.139881e-17 
3723.917969 	 8.215142e-16 	 4.027235e-17 
3724.774658 	 8.724800e-16 	 4.144721e-17 
3725.631592 	 9.248854e-16 	 4.128871e-17 
3726.490479 	 8.367451e-16 	 4.124367e-17 
3727.347900 	 9.260465e-16 	 4.179716e-17 
3728.207275 	 9.166318e-16 	 4.217531e-17 
3729.064941 	 8.536548e-16 	 4.045937e-17 
3729.925049 	 8.253694e-16 	 4.016720e-17 
3730.782959 	 8.672896e-16 	 4.091055e-17 
3731.641357 	 9.211164e-16 	 4.098722e-17 
3732.501709 	 8.100667e-16 	 4.028746e-17 
3733.360352 	 8.702185e-16 	 4.052652e-17 
3734.221436 	 8.857587e-16 	 4.138822e-17 
3735.080322 	 8.835325e-16 	 4.177842e-17 
3735.941650 	 9.300278e-16 	 4.211066e-17 
3736.801270 	 8.967278e-16 	 4.094568e-17 
3737.660889 	 8.272016e-16 	 3.994760e-17 
3738.522705 	 8.842729e-16 	 4.052021e-17 
3739.382812 	 9.009633e-16 	 4.105229e-17 
3740.245117 	 8.694881e-16 	 4.078353e-17 
3741.105469 	 8.408214e-16 	 3.973019e-17 
3741.968262 	 8.154039e-16 	 3.970447e-17 
3742.829102 	 9.123885e-16 	 4.063339e-17 
3743.689941 	 8.767835e-16 	 4.050519e-17 
3744.553223 	 8.422164e-16 	 3.915915e-17 
3745.414795 	 8.604364e-16 	 3.906867e-17 
3746.278564 	 8.651561e-16 	 3.895969e-17 
3747.140381 	 8.187672e-16 	 3.804772e-17 
3748.004395 	 8.246749e-16 	 3.766894e-17 
3748.866699 	 8.379683e-16 	 3.771370e-17 
3749.729004 	 8.245508e-16 	 3.756691e-17 
3750.593750 	 8.708730e-16 	 3.798388e-17 
3751.456543 	 9.311348e-16 	 3.944322e-17 
3752.321533 	 8.196586e-16 	 3.654614e-17 
3753.184814 	 7.730091e-16 	 3.565378e-17 
3754.050293 	 8.300205e-16 	 3.627408e-17 
3754.913818 	 7.991795e-16 	 3.591539e-17 
3755.779785 	 7.650442e-16 	 3.538781e-17 
3756.643799 	 8.086749e-16 	 3.607394e-17 
3757.508057 	 8.099685e-16 	 3.600565e-17 
3758.374512 	 8.301305e-16 	 3.621815e-17 
3759.239014 	 7.926714e-16 	 3.544635e-17 
3760.105957 	 8.230109e-16 	 3.625833e-17 
3760.970947 	 8.730640e-16 	 3.692504e-17 
3761.838135 	 8.542853e-16 	 3.671231e-17 
3762.703613 	 8.118510e-16 	 3.585423e-17 
3763.569336 	 8.220323e-16 	 3.611917e-17 
3764.437012 	 9.060899e-16 	 3.786821e-17 
3765.303223 	 9.009976e-16 	 3.780695e-17 
3766.171387 	 8.872115e-16 	 3.788852e-17 
3767.037842 	 9.065486e-16 	 3.720824e-17 
3767.906494 	 8.169576e-16 	 3.555912e-17 
3768.773193 	 7.967370e-16 	 3.482852e-17 
3769.640137 	 8.810271e-16 	 3.648788e-17 
3770.509521 	 8.669648e-16 	 3.578853e-17 
3771.376953 	 8.324633e-16 	 3.558233e-17 
3772.246582 	 8.252559e-16 	 3.423226e-17 
3773.114502 	 7.396523e-16 	 3.374511e-17 
3773.984375 	 8.899222e-16 	 3.481122e-17 
3774.852783 	 7.565254e-16 	 3.309688e-17 
3775.720947 	 8.297750e-16 	 3.464775e-17 
3776.591797 	 8.687021e-16 	 3.382962e-17 
3777.460449 	 7.142944e-16 	 3.314104e-17 
3778.331543 	 8.471053e-16 	 3.376370e-17 
3779.200928 	 8.172091e-16 	 3.420107e-17 
3780.072266 	 8.182208e-16 	 3.395964e-17 
3780.941895 	 8.674326e-16 	 3.492407e-17 
3781.811768 	 8.649350e-16 	 3.491088e-17 
3782.683838 	 8.217755e-16 	 3.432949e-17 
3783.553955 	 8.577651e-16 	 3.422430e-17 
3784.426514 	 8.107348e-16 	 3.377626e-17 
3785.297119 	 8.127611e-16 	 3.354533e-17 
3786.169922 	 8.077610e-16 	 3.357181e-17 
3787.041016 	 8.182476e-16 	 3.392144e-17 
3787.912109 	 8.686724e-16 	 3.463310e-17 
3788.785645 	 8.788205e-16 	 3.475178e-17 
3789.657227 	 8.146704e-16 	 3.386774e-17 
3790.531006 	 8.381927e-16 	 3.371739e-17 
3791.403076 	 8.073164e-16 	 3.353546e-17 
3792.277344 	 7.992843e-16 	 3.303107e-17 
3793.149902 	 8.546449e-16 	 3.410845e-17 
3794.022461 	 8.194195e-16 	 3.337160e-17 
3794.897217 	 8.741412e-16 	 3.398031e-17 
3795.770264 	 8.338684e-16 	 3.341704e-17 
3796.645508 	 7.969509e-16 	 3.258415e-17 
3797.519043 	 8.207919e-16 	 3.298668e-17 
3798.394775 	 8.555134e-16 	 3.358614e-17 
3799.268555 	 8.414801e-16 	 3.342823e-17 
3800.142578 	 8.434038e-16 	 3.328079e-17 
3801.018799 	 7.772223e-16 	 3.195946e-17 
3801.893311 	 7.974154e-16 	 3.230954e-17 
3802.770020 	 8.382807e-16 	 3.267512e-17 
3803.644775 	 8.069575e-16 	 3.216449e-17 
3804.521973 	 8.007775e-16 	 3.193408e-17 
3805.397217 	 8.460654e-16 	 3.265381e-17 
3806.272705 	 7.916366e-16 	 3.130468e-17 
3807.150391 	 8.036749e-16 	 3.176580e-17 
3808.026123 	 8.355576e-16 	 3.196465e-17 
3808.904297 	 8.329690e-16 	 3.241624e-17 
3809.780518 	 8.899177e-16 	 3.274569e-17 
3810.658936 	 8.156479e-16 	 3.182299e-17 
3811.535645 	 8.201378e-16 	 3.133308e-17 
3812.412598 	 8.345897e-16 	 3.187929e-17 
3813.291748 	 8.538880e-16 	 3.201545e-17 
3814.168945 	 8.724247e-16 	 3.224872e-17 
3815.048340 	 8.100850e-16 	 3.112887e-17 
3815.926025 	 7.773642e-16 	 3.059468e-17 
3816.805908 	 8.523956e-16 	 3.153691e-17 
3817.684082 	 8.358934e-16 	 3.125848e-17 
3818.562256 	 7.691262e-16 	 3.033184e-17 
3819.442871 	 7.772719e-16 	 3.019808e-17 
3820.321533 	 8.228892e-16 	 3.082747e-17 
3821.202393 	 8.268026e-16 	 3.089463e-17 
3822.081543 	 8.035163e-16 	 3.052985e-17 
3822.962891 	 8.388962e-16 	 3.095097e-17 
3823.842285 	 8.506116e-16 	 3.132772e-17 
3824.724121 	 8.063026e-16 	 3.035580e-17 
3825.604004 	 8.339006e-16 	 3.056791e-17 
3826.484131 	 8.123687e-16 	 3.027824e-17 
3827.366455 	 7.804202e-16 	 2.963929e-17 
3828.246826 	 7.836906e-16 	 2.979121e-17 
3829.129639 	 8.188293e-16 	 3.035384e-17 
3830.010498 	 8.276253e-16 	 3.082737e-17 
3830.893799 	 7.691449e-16 	 2.960298e-17 
3831.775146 	 7.835253e-16 	 2.969680e-17 
3832.656494 	 7.963800e-16 	 2.987708e-17 
3833.540283 	 8.099850e-16 	 2.991214e-17 
3834.422363 	 7.785274e-16 	 2.920541e-17 
3835.306396 	 7.395412e-16 	 2.877383e-17 
3836.188721 	 8.075221e-16 	 2.961268e-17 
3837.073486 	 7.418176e-16 	 2.796124e-17 
3837.956055 	 7.406826e-16 	 2.790771e-17 
3838.839111 	 7.334826e-16 	 2.756341e-17 
3839.724365 	 7.322178e-16 	 2.767614e-17 
3840.607666 	 7.681503e-16 	 2.823529e-17 
3841.493164 	 7.808292e-16 	 2.862036e-17 
3842.376953 	 8.119325e-16 	 2.915398e-17 
3843.262939 	 7.757648e-16 	 2.841336e-17 
3844.147217 	 7.843400e-16 	 2.882157e-17 
3845.031494 	 8.015323e-16 	 2.871548e-17 
3845.918213 	 7.849031e-16 	 2.894338e-17 
